bureau,adresse
1,Hotel de ville
2,"14, Boulevard Rouget de l'Isle "
3,"5, place du marché" 
4,5 place du marché 
5,"19, Rue Lavoisier "
6,"3, Rue Paul Eluard "
7,"3, Rue Paul Eluard "
8,"34, Rue Robespierre "
9,"27, Rue Marceau "
10,"59 bis, rue Barbès "
11,"30, Rue du Sergent Bobillot "
12,"8, Rue Marcellin Berthelot "
13,"10, Rue Marcellin Berthelot "
14,"8, Rue Marcellin Berthelot "
15,"8, Rue Marcellin Berthelot "
16,"59, Rue de la Solidarité "
17,8 place du 14 juillet 
18,8 place du 14 juillet 
19,"31, Boulevard Jeanne d'Arc "
20,"8, Place du 14 Juillet "
21,"2/4, Avenue Jean Moulin "
22,"18, Rue Anatole France "
23,"18, Rue Anatole France "
24,Rue de la Côte du Nord 
25,Rue de la Côte du Nord 
26,"5, Rue Paul Lafargue "
27,"5, Rue Paul Lafargue "
28,"56, Rue des Blancs Vilains "
29,"56, Rue des Blancs Vilains "
30,"7, Rue de Nanteuil "
31,"9, Rue de Nanteuil "
32,"62, Rue Rochebrune "
33,"62, Rue Rochebrune "
34,"127 Bis, Rue de Rosny "
35,"127 Bis, Rue de Rosny "
36,"15, Rue Robert Legros "
37,50 avenue de la Résistance 
38,"15, Rue des Messiers "
39,"15, Rue des Messiers "
40,"56, Rue Parmentier "
41,Rue Irène et Frédéric Joliot Curie
42,Rue Irène et Frédéric Joliot Curie
43,Rue Irène et Frédéric Joliot Curie
44,"12, Place du Général de Gaulle "
45,"12, Place du Général de Gaulle "
46,12 rue Estienne d'Orves 
47,12 rue Estienne d'Orves 
48,Rue Danielle Casanova 
49,Rue des Saules Clouets 
50,"171, Boulevard Aristide Briand "
51,"171, Boulevard Aristide Briand "
52,Square Alice 
53,"60, rue Franklin "
54,36-38 rue des Roche 
55,"50, avenue de la Résistance "
56,"25, rue de Vinconnos "
57,12-14 rue de la Révolution 
